,Time,Type,CurrentBuyPrice,Buy/Sell,balance,holding,price_usd_PreKrakenTax,price_usd_PostKrakenTax,Total_Profit
0,2020-06-24 17:35:22.805116,5min Average,9280.1,Buy,950.0,0.0053760196549606145,50.0,49.89,0
1,2020-06-24 17:38:23.173516,5min Average,9261.9,Sell,999.6815408596243,0.0,49.791081238348724,49.681540859624356,-0.31845914037564427
2,2020-06-24 19:08:36.482378,Hold Till a gain,9270.0,Buy,700.0,0.03229126213592233,300.0,299.34,0
3,2020-06-24 19:08:36.500330,Hold Till a gain,9270.0,Buy,700.0,0.03229126213592233,300.0,299.34,0
4,2020-06-24 19:45:41.960133,5min Average,9235.6,Buy,949.6974638166431,0.005400202701880404,49.98407704298122,49.874112073486664,0
5,2020-06-24 19:46:42.091308,5min Average,9240.1,Sell,999.4855614614942,0.0,49.89787296537494,49.78809764485111,-0.19597939813010612
6,2020-06-24 20:24:49.273136,5min Average,9116.3,Buy,949.5112833884194,0.005469799662287765,49.974278073074714,49.86433466131395,0
7,2020-06-24 20:25:49.403768,5min Average,9117.1,Sell,999.2697369497506,0.0,49.86816352107755,49.75845356133118,-0.21582451174353423
8,2020-06-24 20:44:54.457529,5min Average,9070.0,Buy,949.3062501022631,0.005496534418569245,49.96348684748753,49.853567176423056,0
9,2020-06-24 20:45:54.734419,5min Average,9068.5,Sell,999.030943883748,0.0,49.834329305958065,49.72469378148496,-0.23879306600257166
10,2020-06-24 20:55:57.100297,5min Average,9089.1,Buy,949.0793966895607,0.005483673167900033,49.951547194187405,49.84165379036019,0
11,2020-06-24 20:57:57.541339,5min Average,9088.4,Sell,998.7895124052343,0.0,49.81971909768859,49.71011571567367,-0.24143147851373215
12,2020-06-24 21:02:58.790980,5min Average,9082.0,Buy,948.8500367849725,0.005486633866317677,49.93947562026172,49.82960877389714,0
13,2020-06-24 21:05:59.634583,5min Average,9098.3,Sell,998.654328693953,0.0,49.91410293543843,49.80429190898047,-0.1351837112812504
14,2020-06-24 21:22:03.955651,5min Average,9093.5,Buy,948.7216122592553,0.005478953588666775,49.93271643469765,49.82286445854132,0
15,2020-06-24 21:23:04.071838,5min Average,9090.1,Sell,998.4157322663701,0.0,49.803688120980986,49.694120007114826,-0.23859642758282718
16,2020-06-24 21:26:04.795246,5min Average,9088.8,Buy,948.4949456530517,0.005480477167807545,49.92078661331851,49.81096088276921,0
17,2020-06-24 21:27:04.910238,5min Average,9094.9,Sell,998.2253050485044,0.0,49.8400074117586,49.73035939545273,-0.19042721786578198
18,2020-06-24 21:32:05.839548,5min Average,9105.3,Buy,948.3140397960792,0.005469502429230217,49.911265252425224,49.80146046886989,0
19,2020-06-24 21:33:06.062285,5min Average,9102.3,Sell,997.9890188963935,0.0,49.784505011339284,49.67497910031434,-0.23628615211088544
20,2020-06-24 21:38:06.817585,5min Average,9111.9,Buy,948.0895679515738,0.005464246990500453,49.899450944819684,49.78967215274108,0
21,2020-06-24 21:39:06.936077,5min Average,9114.2,Sell,997.7707932707083,0.0,49.79076500213918,49.68122531913448,-0.2182256256852071
22,2020-06-24 21:50:09.112816,5min Average,9115.6,Buy,947.8822536071729,0.005460834709319808,49.888539663535425,49.77878487627565,0
23,2020-06-24 21:51:09.223289,5min Average,9110.0,Sell,997.5101141180862,0.0,49.73728253248481,49.627860510913344,-0.26067915262208174
24,2020-06-24 21:57:10.529799,5min Average,9110.0,Buy,947.6346084121819,0.005462763950971606,49.87550570590432,49.765779593351326,0
25,2020-06-24 21:58:10.816787,5min Average,9109.8,Sell,997.2892680666669,0.0,49.764140764166044,49.65465965448488,-0.2208460514194357
26,2020-06-24 22:01:11.639856,5min Average,9103.7,Buy,947.4248046633335,0.005465334049215814,49.864463403333346,49.75476158384601,0
27,2020-06-24 22:02:11.949050,5min Average,9100.1,Sell,997.0499285235321,0.0,49.73453984786391,49.625123860198606,-0.23933954313474004
28,2020-06-24 22:35:17.296441,5min Average,9164.8,Buy,947.1974320973555,0.005427594812111451,49.85249642617661,49.74282093403902,0
29,2020-06-24 22:38:17.817879,5min Average,9165.3,Sell,996.8329850869811,0.0,49.74499197196388,49.63555298962556,-0.2169434365510483
30,2020-06-24 22:43:19.098072,5min Average,9184.3,Buy,946.9913358326321,0.005414892547716156,49.84164925434906,49.73199762598949,0
31,2020-06-24 22:44:19.387877,5min Average,9183.5,Sell,996.6074394881035,0.0,49.72549975493224,49.616103655471385,-0.22554559887767311
32,2020-06-24 22:49:20.812265,5min Average,9171.1,Buy,946.7770675136983,0.005421459274902845,49.83037197440518,49.72074515606149,0
33,2020-06-24 22:56:22.612544,5min Average,9167.0,Buy,899.4382141380133,0.010574149129627227,47.33885337568492,47.234707898258414,0
34,2020-06-24 22:57:22.878499,5min Average,9167.0,Buy,854.4663034311127,0.015469204491615391,44.97191070690067,44.872972503345494,0
35,2020-06-24 22:59:23.248547,5min Average,9167.0,Sell,995.9589838538626,0.0,141.80465065418912,141.4926804227499,-0.648455634240861
36,2020-06-24 23:04:24.335293,5min Average,9186.3,Buy,946.1610346611694,0.00540896701658657,49.79794919269313,49.688393704469206,0
37,2020-06-24 23:05:24.478301,5min Average,9188.9,Sell,995.7536065677117,0.0,49.70191612201067,49.59257190654225,-0.20537728615088469
38,2020-06-24 23:06:24.598888,5min Average,9188.3,Buy,945.9659262393261,0.005406674513420671,49.78768032838559,49.67814743166314,0
39,2020-06-24 23:09:25.100109,5min Average,9174.1,Sell,995.4576363950779,0.0,49.600831986121236,49.49171015575177,-0.2959701726338224
